year,geo,variable,sector,unit,value,namefile
2019,BG421,area,,KM2,5961,area.xlsx
2020,BG421,area,,KM2,5961,area.xlsx
2021,BG421,area,,KM2,5961,area.xlsx
2022,BG421,area,,KM2,5961,area.xlsx
2019,BG422,area,,KM2,5532,area.xlsx
2020,BG422,area,,KM2,5532,area.xlsx
2021,BG422,area,,KM2,5532,area.xlsx
2022,BG422,area,,KM2,5532,area.xlsx
2019,BG423,area,,KM2,4456,area.xlsx
2020,BG423,area,,KM2,4456,area.xlsx
2021,BG423,area,,KM2,4456,area.xlsx
2022,BG423,area,,KM2,4456,area.xlsx
2019,BG424,area,,KM2,3205,area.xlsx
2020,BG424,area,,KM2,3205,area.xlsx
2021,BG424,area,,KM2,3205,area.xlsx
2022,BG424,area,,KM2,3205,area.xlsx
2019,BG425,area,,KM2,3212,area.xlsx
2020,BG425,area,,KM2,3212,area.xlsx
2021,BG425,area,,KM2,3212,area.xlsx
2022,BG425,area,,KM2,3212,area.xlsx
2019,CY000,area,,KM2,9253,area.xlsx
2020,CY000,area,,KM2,9253,area.xlsx
2021,CY000,area,,KM2,9253,area.xlsx
2022,CY000,area,,KM2,9253,area.xlsx
2019,CZ010,area,,KM2,496,area.xlsx
2020,CZ010,area,,KM2,496,area.xlsx
2021,CZ010,area,,KM2,496,area.xlsx
2022,CZ010,area,,KM2,496,area.xlsx
2019,CZ020,area,,KM2,10929,area.xlsx
2020,CZ020,area,,KM2,10929,area.xlsx
2021,CZ020,area,,KM2,10929,area.xlsx
2022,CZ020,area,,KM2,10929,area.xlsx
2019,CZ031,area,,KM2,10058,area.xlsx
2020,CZ031,area,,KM2,10058,area.xlsx
2021,CZ031,area,,KM2,10058,area.xlsx
2022,CZ031,area,,KM2,10058,area.xlsx
2019,CZ032,area,,KM2,7649,area.xlsx
2020,CZ032,area,,KM2,7649,area.xlsx
2021,CZ032,area,,KM2,7649,area.xlsx
2022,CZ032,area,,KM2,7649,area.xlsx
2019,CZ041,area,,KM2,3310,area.xlsx
2020,CZ041,area,,KM2,3310,area.xlsx
2021,CZ041,area,,KM2,3310,area.xlsx
2022,CZ041,area,,KM2,3310,area.xlsx
2019,CZ042,area,,KM2,5339,area.xlsx
2020,CZ042,area,,KM2,5339,area.xlsx
2021,CZ042,area,,KM2,5339,area.xlsx
2022,CZ042,area,,KM2,5339,area.xlsx
2019,CZ051,area,,KM2,3163,area.xlsx
2020,CZ051,area,,KM2,3163,area.xlsx
2021,CZ051,area,,KM2,3163,area.xlsx
2022,CZ051,area,,KM2,3163,area.xlsx
2019,CZ052,area,,KM2,4759,area.xlsx
2020,CZ052,area,,KM2,4759,area.xlsx
2021,CZ052,area,,KM2,4759,area.xlsx
2022,CZ052,area,,KM2,4759,area.xlsx
2019,CZ053,area,,KM2,4519,area.xlsx
2020,CZ053,area,,KM2,4519,area.xlsx
2021,CZ053,area,,KM2,4519,area.xlsx
2022,CZ053,area,,KM2,4519,area.xlsx
2019,CZ063,area,,KM2,6796,area.xlsx
2020,CZ063,area,,KM2,6796,area.xlsx
2021,CZ063,area,,KM2,6796,area.xlsx
2022,CZ063,area,,KM2,6796,area.xlsx
2019,CZ064,area,,KM2,7188,area.xlsx
2020,CZ064,area,,KM2,7188,area.xlsx
2021,CZ064,area,,KM2,7188,area.xlsx
2022,CZ064,area,,KM2,7188,area.xlsx
2019,CZ071,area,,KM2,5273,area.xlsx
2020,CZ071,area,,KM2,5273,area.xlsx
2021,CZ071,area,,KM2,5273,area.xlsx
2022,CZ071,area,,KM2,5273,area.xlsx
2019,CZ072,area,,KM2,3962,area.xlsx
2020,CZ072,area,,KM2,3962,area.xlsx
2021,CZ072,area,,KM2,3962,area.xlsx
2022,CZ072,area,,KM2,3962,area.xlsx
2019,CZ080,area,,KM2,5430,area.xlsx
2020,CZ080,area,,KM2,5430,area.xlsx
2021,CZ080,area,,KM2,5430,area.xlsx
2022,CZ080,area,,KM2,5430,area.xlsx
2019,DE111,area,,KM2,207,area.xlsx
2020,DE111,area,,KM2,207,area.xlsx
2021,DE111,area,,KM2,207,area.xlsx
2022,DE111,area,,KM2,207,area.xlsx
2019,DE112,area,,KM2,618,area.xlsx
2020,DE112,area,,KM2,618,area.xlsx
2021,DE112,area,,KM2,618,area.xlsx
2022,DE112,area,,KM2,618,area.xlsx
2019,DE113,area,,KM2,641,area.xlsx
2020,DE113,area,,KM2,641,area.xlsx
2021,DE113,area,,KM2,641,area.xlsx
2022,DE113,area,,KM2,641,area.xlsx
2019,DE114,area,,KM2,642,area.xlsx
2020,DE114,area,,KM2,642,area.xlsx
2021,DE114,area,,KM2,642,area.xlsx
2022,DE114,area,,KM2,642,area.xlsx
2019,DE115,area,,KM2,687,area.xlsx
2020,DE115,area,,KM2,687,area.xlsx
2021,DE115,area,,KM2,687,area.xlsx
2022,DE115,area,,KM2,687,area.xlsx
2019,DE116,area,,KM2,858,area.xlsx
2020,DE116,area,,KM2,858,area.xlsx
2021,DE116,area,,KM2,858,area.xlsx
2022,DE116,area,,KM2,858,area.xlsx
2019,DE117,area,,KM2,100,area.xlsx
2020,DE117,area,,KM2,100,area.xlsx
2021,DE117,area,,KM2,100,area.xlsx
2022,DE117,area,,KM2,100,area.xlsx
2019,DE118,area,,KM2,1100,area.xlsx
2020,DE118,area,,KM2,1100,area.xlsx
2021,DE118,area,,KM2,1100,area.xlsx
2022,DE118,area,,KM2,1100,area.xlsx
2019,DE119,area,,KM2,777,area.xlsx
2020,DE119,area,,KM2,777,area.xlsx
2021,DE119,area,,KM2,777,area.xlsx
2022,DE119,area,,KM2,777,area.xlsx
2019,DE11A,area,,KM2,1484,area.xlsx
2020,DE11A,area,,KM2,1484,area.xlsx
2021,DE11A,area,,KM2,1484,area.xlsx
2022,DE11A,area,,KM2,1484,area.xlsx
2019,DE11B,area,,KM2,1304,area.xlsx
2020,DE11B,area,,KM2,1304,area.xlsx
2021,DE11B,area,,KM2,1304,area.xlsx
2022,DE11B,area,,KM2,1304,area.xlsx
2019,DE11C,area,,KM2,627,area.xlsx
2020,DE11C,area,,KM2,627,area.xlsx
2021,DE11C,area,,KM2,627,area.xlsx
2022,DE11C,area,,KM2,627,area.xlsx
2019,DE11D,area,,KM2,1511,area.xlsx
2020,DE11D,area,,KM2,1511,area.xlsx
2021,DE11D,area,,KM2,1511,area.xlsx
2022,DE11D,area,,KM2,1511,area.xlsx
2019,DE121,area,,KM2,140,area.xlsx
2020,DE121,area,,KM2,140,area.xlsx
2021,DE121,area,,KM2,140,area.xlsx
2022,DE121,area,,KM2,140,area.xlsx
2019,DE122,area,,KM2,173,area.xlsx
2020,DE122,area,,KM2,173,area.xlsx
2021,DE122,area,,KM2,173,area.xlsx
2022,DE122,area,,KM2,173,area.xlsx
2019,DE123,area,,KM2,1085,area.xlsx
2020,DE123,area,,KM2,1085,area.xlsx
2021,DE123,area,,KM2,1085,area.xlsx
2022,DE123,area,,KM2,1085,area.xlsx
2019,DE124,area,,KM2,738,area.xlsx
2020,DE124,area,,KM2,738,area.xlsx
