"NUTS_CODE","TIMESTAMP","MEDIAN"
"DK013","2003-01-01",0.348
"DK014","2003-01-01",0.418
"DK021","2003-01-01",0.435
"DK022","2003-01-01",0.298
"DK031","2003-01-01",-0.099
"DK032","2003-01-01",-0.181
"DK041","2003-01-01",-0.499
"DK042","2003-01-01",-0.036
"DK050","2003-01-01",-0.571
"EE001","2003-01-01",-3.455
"EE004","2003-01-01",-2.624
"EE008","2003-01-01",-2.642
"EE009","2003-01-01",-2.997
"EE00A","2003-01-01",-2.896
"EL301","2003-01-01",0.534
"EL302","2003-01-01",0.642
"EL303","2003-01-01",0.604
"EL304","2003-01-01",0.619
"EL305","2003-01-01",0.946
"EL306","2003-01-01",1.097
"EL307","2003-01-01",0.744
"EL411","2003-01-01",0.595
"EL412","2003-01-01",0.503
"EL413","2003-01-01",0.323
"EL421","2003-01-01",0.598
"EL422","2003-01-01",0.667
"EL431","2003-01-01",0.302
"EL432","2003-01-01",0.47
"EL433","2003-01-01",0.114
"EL434","2003-01-01",-0.028
"EL511","2003-01-01",0.942
"EL512","2003-01-01",0.999
"EL513","2003-01-01",1.007
"EL514","2003-01-01",0.978
"EL515","2003-01-01",1.007
"EL521","2003-01-01",1.303
"EL522","2003-01-01",1.284
"EL523","2003-01-01",1.141
"EL524","2003-01-01",1.17
"EL525","2003-01-01",1.344
"EL526","2003-01-01",1.193
"EL527","2003-01-01",1.303
"EL531","2003-01-01",0.907
"EL532","2003-01-01",0.906
"EL533","2003-01-01",1.017
"EL541","2003-01-01",0.988
"EL542","2003-01-01",0.982
"EL543","2003-01-01",0.957
"EL611","2003-01-01",0.983
"EL612","2003-01-01",1.113
"EL613","2003-01-01",1.058
"EL621","2003-01-01",0.774
"EL622","2003-01-01",1.047
"EL623","2003-01-01",0.964
"EL624","2003-01-01",1.147
"EL631","2003-01-01",1.064
"EL632","2003-01-01",0.912
"EL633","2003-01-01",0.806
"EL641","2003-01-01",1.024
"EL642","2003-01-01",1.082
"EL643","2003-01-01",1.156
"EL644","2003-01-01",1.024
